	Номенклатура	Входит в группу	Штрихкод	Shsh
3742	Уголь древесный 10л РУ (1,3 кг)	Шашлычный инвентарь	2000004560034	Y
3743	Уголь древесный 10л РУ (1,3 кг)	Шашлычный инвентарь	4624111176575	Y
3744	Уголь древесный (березовый) 2кг РУ	Шашлычный инвентарь	2000002111498	Y
3745	Уголь древесный (березовый) 2кг РУ	Шашлычный инвентарь	2400000801047	Y
3746	Уголь древесный (березовый) 2кг РУ	Шашлычный инвентарь	2400100126019	Y
3934	Шашлык в маринаде Кавказский (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2112851	Y
3935	Шашлык в маринаде Темное пиво (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2112852	Y
3936	Шашлык Капри экстра (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2112853	Y
3937	Шашлык Куриный из филе грудок (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2112854	Y
3938	Шашлык куриный в маринаде Беларичи (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2112855	Y
3939	Шашлык Фирменный (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2112856	Y
3947	Шашлык По - Русски (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2112863	Y
4007	Шашлык Капри – Гриль, (Ярмарка), 190/30г, шт	200.07 Гриль (Шашлык на шпажке)	2000000347257	Y
4008	Шашлык Куриный (Филе грудок) Гриль (Ярмарка), 180/30г, шт	200.07 Гриль (Шашлык на шпажке)	2000000347264	Y
4009	Шашлык Фирменный Гриль (Ярмарка), 190/30г, шт	200.07 Гриль (Шашлык на шпажке)	2000000347271	Y
4066	Шашлык Классический из свинины (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2112875	Y
4093	Шашлык Фермеры Сибири в сливочно-пряном маринаде, охл, в/у	Мясо сопутка	2109749	Y
4334	Шашлычок овощной, охл, вес	200.16 Витрина охл (Мясо)	2110099	Y
4340	Шашлычок из индейки, охл, вес	200.16 Витрина охл (Мясо)	2110105	Y
4341	Шашлычок из свинины с грибами, охл, вес	200.16 Витрина охл (Мясо)	2110106	Y
4342	Шашлычок из свинины с помидорами, охл, вес	200.16 Витрина охл (Мясо)	2110107	Y
4343	Шашлычок из филе грудок с ананасами, охл, вес	200.16 Витрина охл (Мясо)	2110108	Y
4344	Шашлычок из филе грудок с перцем свежим, охл, вес	200.16 Витрина охл (Мясо)	2110109	Y
4345	Шашлычок овощной (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2110110	Y
4351	Шашлычок из индейки (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2110113	Y
4352	Шашлычок из свинины с грибами (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2110114	Y
4353	Шашлычок из свинины с помидорами (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2110100	Y
4354	Шашлычок из филе грудок с ананасами Гриль, вес	Выведено 200 Продукция ФРС	2110101	Y
4355	Шашлычок из филе грудок с перцем (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2110102	Y
4494	Шашлык куриный, 350 гр/шт (Мангал)	200.08 Гриль, Мангал (Шашлык)	2000000218922	Y
4931	Шашлык из куриных крылышек (Мангал), шт	Не использовать!!!Готовая продукция	2000000019048	Y
